First Actor,First Actor Page,Second Actor,Second Actor Page,Distance
Jackie Chan,https://www.imdb.com/name/nm0000329/,Chris Hemsworth,https://www.imdb.com/name/nm1165110/,inf
Jackie Chan,https://www.imdb.com/name/nm0000329/,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,inf
Jackie Chan,https://www.imdb.com/name/nm0000329/,Akshay Kumar,https://www.imdb.com/name/nm0474774/,inf
Jackie Chan,https://www.imdb.com/name/nm0000329/,Bradley Cooper,https://www.imdb.com/name/nm0177896/,inf
Jackie Chan,https://www.imdb.com/name/nm0000329/,Adam Sandler,https://www.imdb.com/name/nm0001191/,inf
Jackie Chan,https://www.imdb.com/name/nm0000329/,Scarlett Johansson,https://www.imdb.com/name/nm0424060/,inf
Jackie Chan,https://www.imdb.com/name/nm0000329/,Sofia Vergara,https://www.imdb.com/name/nm0005527/,inf
Jackie Chan,https://www.imdb.com/name/nm0000329/,Chris Evans,https://www.imdb.com/name/nm0262635/,inf
Bradley Cooper,https://www.imdb.com/name/nm0177896/,Dwayne Johnson,https://www.imdb.com/name/nm0425005/,2
Bradley Cooper,https://www.imdb.com/name/nm0177896/,Chris Hemsworth,https://www.imdb.com/name/nm1165110/,1
Bradley Cooper,https://www.imdb.com/name/nm0177896/,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,2
Bradley Cooper,https://www.imdb.com/name/nm0177896/,Akshay Kumar,https://www.imdb.com/name/nm0474774/,inf
Bradley Cooper,https://www.imdb.com/name/nm0177896/,Jackie Chan,https://www.imdb.com/name/nm0000329/,inf
Bradley Cooper,https://www.imdb.com/name/nm0177896/,Adam Sandler,https://www.imdb.com/name/nm0001191/,2
Bradley Cooper,https://www.imdb.com/name/nm0177896/,Scarlett Johansson,https://www.imdb.com/name/nm0424060/,2
Bradley Cooper,https://www.imdb.com/name/nm0177896/,Sofia Vergara,https://www.imdb.com/name/nm0005527/,inf
Bradley Cooper,https://www.imdb.com/name/nm0177896/,Chris Evans,https://www.imdb.com/name/nm0262635/,2
Adam Sandler,https://www.imdb.com/name/nm0001191/,Dwayne Johnson,https://www.imdb.com/name/nm0425005/,inf
Adam Sandler,https://www.imdb.com/name/nm0001191/,Chris Hemsworth,https://www.imdb.com/name/nm1165110/,inf
Adam Sandler,https://www.imdb.com/name/nm0001191/,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,inf
Adam Sandler,https://www.imdb.com/name/nm0001191/,Akshay Kumar,https://www.imdb.com/name/nm0474774/,inf
Adam Sandler,https://www.imdb.com/name/nm0001191/,Jackie Chan,https://www.imdb.com/name/nm0000329/,inf
Adam Sandler,https://www.imdb.com/name/nm0001191/,Bradley Cooper,https://www.imdb.com/name/nm0177896/,2
Adam Sandler,https://www.imdb.com/name/nm0001191/,Scarlett Johansson,https://www.imdb.com/name/nm0424060/,inf
Adam Sandler,https://www.imdb.com/name/nm0001191/,Sofia Vergara,https://www.imdb.com/name/nm0005527/,inf
Adam Sandler,https://www.imdb.com/name/nm0001191/,Chris Evans,https://www.imdb.com/name/nm0262635/,inf
Scarlett Johansson,https://www.imdb.com/name/nm0424060/,Dwayne Johnson,https://www.imdb.com/name/nm0425005/,inf
Scarlett Johansson,https://www.imdb.com/name/nm0424060/,Chris Hemsworth,https://www.imdb.com/name/nm1165110/,2
Scarlett Johansson,https://www.imdb.com/name/nm0424060/,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,2
Scarlett Johansson,https://www.imdb.com/name/nm0424060/,Akshay Kumar,https://www.imdb.com/name/nm0474774/,inf
Scarlett Johansson,https://www.imdb.com/name/nm0424060/,Jackie Chan,https://www.imdb.com/name/nm0000329/,inf
Scarlett Johansson,https://www.imdb.com/name/nm0424060/,Bradley Cooper,https://www.imdb.com/name/nm0177896/,2
Scarlett Johansson,https://www.imdb.com/name/nm0424060/,Adam Sandler,https://www.imdb.com/name/nm0001191/,inf
Scarlett Johansson,https://www.imdb.com/name/nm0424060/,Sofia Vergara,https://www.imdb.com/name/nm0005527/,inf
Scarlett Johansson,https://www.imdb.com/name/nm0424060/,Chris Evans,https://www.imdb.com/name/nm0262635/,2
Sofia Vergara,https://www.imdb.com/name/nm0005527/,Dwayne Johnson,https://www.imdb.com/name/nm0425005/,inf
Sofia Vergara,https://www.imdb.com/name/nm0005527/,Chris Hemsworth,https://www.imdb.com/name/nm1165110/,inf
Sofia Vergara,https://www.imdb.com/name/nm0005527/,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,inf
Sofia Vergara,https://www.imdb.com/name/nm0005527/,Akshay Kumar,https://www.imdb.com/name/nm0474774/,inf
Sofia Vergara,https://www.imdb.com/name/nm0005527/,Jackie Chan,https://www.imdb.com/name/nm0000329/,inf
Sofia Vergara,https://www.imdb.com/name/nm0005527/,Bradley Cooper,https://www.imdb.com/name/nm0177896/,inf
Sofia Vergara,https://www.imdb.com/name/nm0005527/,Adam Sandler,https://www.imdb.com/name/nm0001191/,inf
Sofia Vergara,https://www.imdb.com/name/nm0005527/,Scarlett Johansson,https://www.imdb.com/name/nm0424060/,inf
Sofia Vergara,https://www.imdb.com/name/nm0005527/,Chris Evans,https://www.imdb.com/name/nm0262635/,inf
Chris Evans,https://www.imdb.com/name/nm0262635/,Dwayne Johnson,https://www.imdb.com/name/nm0425005/,1
Chris Evans,https://www.imdb.com/name/nm0262635/,Chris Hemsworth,https://www.imdb.com/name/nm1165110/,2
Chris Evans,https://www.imdb.com/name/nm0262635/,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,2
Chris Evans,https://www.imdb.com/name/nm0262635/,Akshay Kumar,https://www.imdb.com/name/nm0474774/,inf
Chris Evans,https://www.imdb.com/name/nm0262635/,Jackie Chan,https://www.imdb.com/name/nm0000329/,inf
Chris Evans,https://www.imdb.com/name/nm0262635/,Bradley Cooper,https://www.imdb.com/name/nm0177896/,2
Chris Evans,https://www.imdb.com/name/nm0262635/,Adam Sandler,https://www.imdb.com/name/nm0001191/,inf
Chris Evans,https://www.imdb.com/name/nm0262635/,Scarlett Johansson,https://www.imdb.com/name/nm0424060/,2
Chris Evans,https://www.imdb.com/name/nm0262635/,Sofia Vergara,https://www.imdb.com/name/nm0005527/,inf
